id	uKIN	RWR
A0A096LPI5	3.8596661697356904e-07	2.540279594985535e-07
A0A096LPI6	1.668012295028907e-07	5.77231733727973e-09
A0A0A0MS14	2.3777195042208255e-07	4.339510840084959e-08
A0A0A0MS15	2.2133645213755216e-07	2.7002349845795705e-08
A0A0A0MT08	2.2133645213755216e-07	2.7002349845795705e-08
A0A0A0MT99	2.9842973056046347e-07	5.713217555348142e-08
A0A0A6YYA0	3.553881907415885e-07	1.4244855647550263e-07
A0A0A6YYC7	3.145257708760717e-07	5.338713325624437e-08
A0A0A6YYG9	4.971346125048764e-07	1.1618614383592755e-06
A0A0A6YYH1	2.2133645213755216e-07	2.7002349845795705e-08
A0A0A6YYL0	3.196419943689864e-07	1.9005371402150694e-07
A0A0A6YYL4	3.793483512216881e-06	5.149509232078269e-06
A0A0A6YYL6	1.9262837502071413e-06	2.5870713652937993e-06
A0A0B4J1V8	1.668012295028907e-07	5.77231733727973e-09
A0A0B4J1Y9	1.9284782717245415e-07	1.559102053006155e-08
A0A0B4J269	1.5192092362958265e-06	4.646228766825547e-06
A0A0B4J295	7.283824562604168e-07	1.911696163085614e-07
A0A0B4J2A2	1.4988159950560846e-06	9.25334478952606e-07
A0A0B4J2B8	3.39799357086974e-07	7.083744623366672e-08
A0A0B4J2D5	4.135296480569139e-07	1.778749644625848e-05
A0A0B4J2E5	2.599121266335185e-06	2.584482257457453e-06
A0A0B4J2F0	1.7061920992506442e-07	3.321205835524351e-08
A0A0B4J2F2	4.805346971378263e-07	4.107247935290181e-07
A0A0C4DH73	2.8633959314839304e-07	3.2543786895630207e-08
A0A0C5B5G6	2.6793892728939265e-07	4.340813247749992e-08
A0A0G2JN01	2.544690658370969e-07	2.8500824153623297e-08
A0A0K0K1J3	3.201441834609224e-07	7.339582540776838e-08
A0A0K2S4Q6	1.215465263565149e-06	5.043638608534655e-07
A0A0S2Z4P3	3.2745881991979033e-06	1.6369554963270177e-06
A0A0S2Z605	7.392057805244145e-07	2.2409084696292446e-07
A0A0S2Z6B0	2.3870002800549977e-07	4.377743055665248e-08
A0A0S2Z6I7	2.251503318104565e-06	1.6521285207021557e-06
A0A0U1RQF7	4.782657430444092e-07	5.339083892127943e-07
A0A0U1RR11	2.0566769809775322e-07	1.6546834606088525e-08
A0A0U1RRL7	8.271947051148035e-07	4.0244016268086785e-07
A0A0X9T7T4	1.668012295028907e-07	5.77231733727973e-09
A0A140G945	8.596894274450044e-07	2.175686236055756e-05
A0A1B0GTR3	5.270679705482204e-07	2.2583418731885308e-07
A0A1B0GTU1	6.767956485912883e-07	1.9065048617300883e-07
A0A1B0GTZ2	3.7009348225230034e-07	1.1116146956793443e-06
A0A1B0GUI7	2.2133645213755216e-07	2.7002349845795705e-08
A0A1B0GUV7	2.9886777084987843e-07	9.12696252519271e-08
A0A1B0GVH7	3.406769115390982e-07	7.639172464254574e-08
A0A1B0GVQ3	2.2133645213755216e-07	2.7002349845795705e-08
A0A1B0GX68	2.974876883930816e-06	3.028502547184951e-06
A0A1W2PQ73	2.613449615870991e-07	5.6597092060713075e-08
A0A1W2PQS6	3.3435915976031377e-07	2.1288036341982032e-07
A0A1W2PQU2	2.575144377335669e-07	1.1031415329388188e-08
A0A1X8XL64	4.4601605898215203e-07	1.644114612928402e-07
A0A2K7P776	2.525082800012695e-07	5.1773458506430256e-08
A0A2R8Y422	2.9092690536613584e-07	7.430541183713578e-08
A0A2R8Y7D0	2.6497985133238687e-07	3.954075201223029e-08
A0A2Z4LIS9	6.81541052460043e-06	1.0936551293543106e-05
A0A384ME25	3.926138620138927e-07	2.06588607652337e-06
A0A3B3IRZ5	4.514529336375868e-07	3.756649667292744e-07
A0A5B9	2.2073011357193605e-06	9.142812068008408e-07
A0A5S8K742	6.357371193998427e-07	2.505229602864699e-07
A0A6I8PU40	4.020749737521197e-07	2.1852878092964222e-07
A0AUZ9	4.1761363374997614e-07	1.1783230430656725e-07
A0AV02	4.336210227525327e-07	2.3137150966315274e-07
A0AV96	1.2765329292464886e-06	3.558945423674631e-05
A0AVF1	1.1591286625043247e-06	8.912031185502154e-06
A0AVI2	1.6894203180395768e-07	3.673338193009974e-08
A0AVI4	7.038346835407049e-07	2.9969447157172156e-06
A0AVK6	1.4303703670845359e-06	1.0988460294325291e-05
A0AVT1	7.427485967479985e-07	1.6028668895088186e-05
A0FGR8	4.325351895206629e-07	5.481357834113645e-06
A0FGR9	8.349842046997117e-07	1.1815430314269118e-06
A0JLT2	5.603214470302353e-07	1.656296083957483e-05
A0JNW5	3.709044576250487e-07	1.0047200744297297e-06
A0JP26	7.095083119869417e-07	7.142021169923599e-06
A0M8Q6	1.4945844933395825e-06	2.838909300937427e-06
A0M8Q9	6.450102401125219e-07	1.7601475446658652e-07
A0MZ66	5.00323892849105e-05	0.0013524832657975103
A0N4Z6	2.5385972647966056e-06	7.554041961406627e-06
A0PJE2	7.820987323944057e-06	4.216088286736828e-06
A0PJI9	2.7311584939569963e-06	2.408476757473393e-05
A0PJW6	1.317835584472414e-06	1.1818110933644311e-05
A0PJW8	3.576128691691055e-07	1.7410074180723586e-07
A0PJX0	3.403760434955713e-07	2.533670257091966e-07
A0PJX2	2.6536034717696004e-07	6.382778676241307e-08
A0PJX4	8.202462912229218e-07	7.455134978412943e-07
A0PJX8	6.620281324809474e-07	4.829300894011232e-07
A0PJY2	4.283512753343021e-07	3.187016485286267e-07
A0PJZ0	1.5242397813001183e-06	7.945182442191965e-07
A0PJZ3	4.4795606303075503e-07	6.258474371252931e-07
A0PK00	8.697550067654704e-07	1.2098777114175619e-05
A0PK05	4.349135921668947e-07	2.981316948736868e-07
A0PK11	5.670537313892666e-07	4.954151571223433e-07
A1A4F0	3.977365836057517e-07	8.26431115348828e-08
A1A4G5	5.54745266483576e-07	6.028475307339046e-07
A1A4S6	2.538543000765259e-06	1.5869894579781332e-05
A1A4V9	2.189184597279298e-07	2.673226862166773e-08
A1A4Y4	4.143816111145298e-07	4.91143468320796e-07
A1A512	1.3215628716974426e-06	2.108689221427689e-06
A1A519	6.754089460977301e-07	1.854033155765965e-06
A1A580	5.11831590711293e-07	5.316941828284986e-07
A1A5B4	4.805156359000879e-07	2.443845593408608e-07
A1A5C7	4.1770031888427813e-07	9.049845882050063e-07
A1A5D9	3.6417392674585424e-07	1.7041792510720814e-07
A1E959	3.7243826798427974e-07	4.842861315092196e-07
A1IGU5	2.750690399378541e-07	5.345302898887272e-08
A1KXE4	6.388811991021977e-07	7.947761318198645e-06
A1KZ92	5.612916487046016e-07	7.403639991813042e-07
A1L020	8.861123176969662e-07	6.191974357698312e-06
A1L0T0	4.107826263449231e-07	5.6255680813639494e-06
A1L157	3.5624980558593966e-07	4.3536133732001755e-07
A1L162	3.729184699159721e-07	3.430709830726512e-07
A1L167	4.203834829913427e-06	2.261943717082427e-06
A1L168	4.057801055494902e-07	3.6997769062021226e-07
A1L170	7.989505340369794e-07	3.678503968309403e-06
A1L188	3.6356957679378297e-07	1.8392916905277928e-06
A1L190	1.349123330488864e-06	2.034407627271938e-05
A1L390	1.3887246036726222e-06	1.8504378681015986e-05
A1L3X0	4.0811223270138803e-07	3.9396422794095264e-07
A1L3X4	5.000372488168575e-07	1.5909361118774115e-07
A1L429	6.675506581609795e-07	2.9576135403149214e-07
A1L443	1.417764521030774e-06	7.252747686227413e-06
A1L453	1.8586358086876055e-07	2.4209280204712397e-08
A1L4H1	4.1588093120346476e-07	7.387348400435754e-07
A1L4K1	4.37985925984341e-07	6.358331739656572e-06
A1L4L8	4.992981232520282e-07	1.260003313111293e-07
A1X283	6.00766546092101e-07	2.5243048784363577e-06
A1XBS5	1.3578477996693252e-06	3.4869269071407463e-06
A1YPR0	3.235580681374958e-07	4.736140778409166e-07
A1Z1Q3	8.279770276611971e-07	1.4773095377843277e-06
A2A288	3.209629787715375e-07	8.747352793000316e-08
A2A2V5	7.079034902442644e-07	8.935705553010666e-07
A2A2Y4	5.305659821670094e-07	1.0781930617190148e-06
A2A2Z9	3.6102553420140807e-07	1.75042464842595e-07
A2A368	2.809132115462158e-07	5.326476190551143e-08
A2A3K4	6.767255339021272e-07	1.0331014306551439e-05
A2A3N6	3.499902955728027e-07	5.647141947191524e-07
A2AJT9	3.348955257594389e-07	9.987918582568905e-08
A2IDD5	4.84544707105355e-06	5.301386476975388e-06
A2J422	3.030301097537012e-07	7.077296017161786e-08
A2JGV3	2.0121411078606144e-07	1.4406552086256931e-08
A2NFR5	1.668012295028907e-07	5.77231733727973e-09
A2NJV5	2.1112358346187444e-07	3.409781863479531e-08
A2NYE6	1.7019887747813037e-06	3.5676033759092408e-06
A2PYH4	2.348058934009309e-07	3.12162847572005e-08
A2RRD8	3.6645862012461325e-07	1.2056382767203782e-07
A2RRG2	5.265719859062438e-07	1.3968947358889296e-07
A2RRH5	3.1000611079185566e-07	2.377587273088091e-07
A2RRL7	3.31271123300711e-07	3.3024056336180647e-07
A2RRP1	4.671042709029657e-07	2.7557584837396374e-06
A2RTX5	4.479358258369885e-07	1.8919101582088553e-06
A2RTY3	8.463773057365163e-07	3.452029141032813e-07
A2RU14	2.014537070966267e-06	3.175730209490799e-05
A2RU30	6.40630420376807e-07	2.3235728312015637e-06
A2RU48	6.865468534726064e-07	1.0907914744637819e-06
A2RU49	3.274296503075376e-06	7.022852576935848e-06
A2RU54	3.978780773987396e-07	1.228588340519041e-07
A2RU56	6.582780586571984e-07	3.034079984081032e-06
A2RU67	7.930096580010629e-07	8.343604189173325e-06
A2RUB1	1.2511143521833061e-06	2.074570163325075e-06
A2RUB6	1.9827106438805177e-06	9.466366127219041e-06
A2RUC4	4.916548145827992e-07	6.90065040783647e-07
A2RUH7	6.707338289226076e-07	3.01597547464928e-06
A2RUQ5	2.584162039989843e-05	3.295406879352413e-05
A2RUR9	6.771868031291305e-07	2.776635944621759e-07
A2RUS2	4.771852716229218e-07	5.033045998199814e-07
A2RUT3	3.8221077602666093e-07	1.1252513704083595e-07
A2RUU4	4.0748644484521476e-07	4.984161404389244e-07
A2VCK2	6.546783257316869e-06	3.276379156868509e-05
A2VDF0	9.93781488706493e-07	4.531599870865556e-06
A2VDJ0	3.013412548230302e-07	4.2526902291343757e-07
A2VEC9	3.523572370805321e-07	1.8981307276912638e-07
A3F768	1.668012295028907e-07	5.77231733727973e-09
A3KMH1	1.1858058441977457e-06	8.131254393997982e-05
A3KN83	6.786578800945055e-07	5.558233993224076e-06
A4D0S4	4.43020398875506e-07	2.3094338571355633e-07
A4D0T7	4.344371975361211e-07	1.227781674239038e-07
A4D0V7	2.0121411078606144e-07	1.4406552086256931e-08
A4D110	4.270807849951729e-06	4.49293593919656e-06
A4D126	2.4372170453998615e-07	4.3460229332866634e-08
A4D161	4.0744903129817544e-07	6.774354796005745e-07
A4D1B5	2.7927068218164476e-07	1.3396506269708226e-07
A4D1E1	3.0997808164210937e-07	9.48435935023597e-08
A4D1E9	3.539101510590553e-07	1.6449949604740916e-06
A4D1F6	3.068407419276945e-07	9.268251273114598e-08
A4D1I3	2.9119317413877907e-07	4.595330234161874e-08
A4D1J9	1.396471057321935e-06	4.3975919392198753e-07
A4D1P6	3.470139034839013e-07	1.116894658065518e-06
A4D1S0	4.2111854766585315e-07	2.6072386589104127e-06
A4D1S5	3.934139245277234e-07	3.3224807987827496e-07
A4D1T9	8.970081241129953e-07	2.348137765684107e-06
A4D1U4	1.9043197143468712e-05	4.5168601310341646e-05
A4D1Z4	3.298584771034735e-07	6.529728012829863e-08
A4D213	5.827477436086261e-07	3.2791343649593414e-07
A4D256	1.34045734901496e-07	1.0171860742239565e-08
A4D263	5.476722476651144e-07	2.9997587195996776e-07
A4D2B0	6.193707792740848e-06	2.5934005318075356e-05
A4D2B8	8.087007996787883e-06	1.2583201086741059e-05
A4D2H0	2.9783283020365124e-07	4.29498751008159e-08
A4D2P6	4.4667965072834587e-07	2.858655513125737e-07
A4FU01	2.6813375991723744e-06	1.2429208989276018e-05
A4FU49	5.777896207949581e-07	6.813978892365019e-07
A4FU69	3.2270228534016285e-07	8.980132009029334e-08
A4FVC0	4.621259490581512e-07	5.359674610955855e-07
A4GXA9	4.576978011184923e-06	7.716932970407556e-06
A4PIV7	3.1487214175576358e-06	1.7413982862859098e-05
A4PIW0	9.235532316962459e-07	4.086539964745293e-06
A4QMR6	8.236147995925383e-07	3.779739488328354e-07
A4QMS7	6.012423228839307e-07	3.7244668213262885e-07
A4QPB2	2.8491358120881686e-07	1.8587185267687245e-07
A4QPH2	3.4528619402545646e-07	8.431241320122852e-08
A4UCT1	2.4036294480209616e-07	4.548987889003221e-08
A4UGR9	7.764355789488842e-07	2.6629465283132346e-06
A5A3E0	4.1574895691266024e-07	4.980241499910179e-06
A5D6W6	2.0121411078606144e-07	1.4406552086256931e-08
A5D8T8	5.423498393601238e-07	8.823603824702825e-07
A5D8V6	1.1506503322836538e-06	2.8301440799401448e-05
A5D8V7	1.063230228292656e-06	1.0991004619689231e-05
A5D8W1	9.468770002646516e-07	3.5988852455954935e-07
A5LHX3	4.729687832638765e-06	7.273781952664172e-06
A5PKU2	1.0853949329497957e-06	1.9112302552627655e-05
A5PKW4	2.916927149904638e-06	8.49275173688608e-06
A5PKX9	2.7166112252654956e-06	2.2346052023214467e-05
A5PL33	4.854990283173211e-07	1.7563261422125244e-06
A5PLK6	5.121932765766835e-07	2.3028845351410393e-07
A5PLL1	1.5062612217018582e-06	7.278439978824076e-07
A5PLL7	7.883772628943293e-07	1.1800888321843e-05
A5PLN7	2.8939297032529903e-07	5.7041340846818665e-08
A5PLN9	4.878918659939424e-07	1.170260380794723e-06
A5X5Y0	4.0519738808810165e-07	3.670841325658235e-07
A5Y5A3	5.5934751595071255e-06	4.4744733283513e-06
A5YKK6	5.3531298591219e-07	1.6703277672099963e-05
A5YM69	4.0058565594424684e-07	3.979284741772911e-07
A5YM72	3.0652054333542794e-07	2.0024424818689152e-07
A6BM72	8.639169652120219e-07	1.0790122168759718e-06
A6H8Y1	1.1294011973707615e-06	8.194465733327112e-06
A6H8Z2	1.0755963951687983e-06	6.768331942375926e-06
A6NC98	7.596568676984102e-07	7.356632499286387e-06
A6NCE7	4.087149557745965e-07	5.399778293334077e-07
A6NCF5	4.241425781393544e-07	4.520019299469866e-07
A6NCI4	1.6894203180395768e-07	3.673338193009974e-08
A6NCI8	7.794640513999115e-07	5.087264477435334e-07
A6NCJ1	5.123349510706955e-07	1.7630924483730176e-07
A6NCK2	2.5728156310906004e-07	4.470422617284955e-08
A6NCL1	1.3120767778035247e-05	7.215464094680486e-06
A6NCL7	2.6041275725474996e-07	4.2090158148489626e-08
A6NCM1	3.122367296258647e-07	1.521663664818577e-07
A6NCN2	8.231248700534941e-07	9.031676770304328e-07
A6NCQ9	2.1828462170608105e-07	2.9529007468820826e-08
A6NCS4	1.9234018426626284e-07	2.3075823096333333e-08
A6NCS6	1.0411512973411602e-06	1.3309225241482689e-06
A6NCW0	2.5728156310906004e-07	4.470422617284955e-08
A6ND01	1.0252999530230582e-06	2.677835315960572e-07
A6ND36	6.397083388896861e-07	2.901438252817528e-06
A6ND48	3.5385012652733284e-07	1.1876074308700468e-07
A6ND91	4.1311926376276027e-07	6.302840226661935e-07
A6NDB9	6.198103189363365e-07	1.210601995117762e-06
A6NDG6	4.500231881174498e-07	6.897724604983445e-07
A6NDK9	3.055705925740064e-07	6.849696438168179e-08
A6NDL7	2.401457803722024e-07	4.5989998946103366e-08
A6NDP7	1.5778133835390502e-06	4.061064057488873e-06
A6NDR6	2.087684278786242e-06	5.782303395445783e-07
A6NDS4	3.0010293169469623e-07	2.425512230194484e-07
A6NDU8	4.869918286631683e-07	6.010001258935385e-07
A6NDV4	1.4617659853550066e-06	1.5203825646502364e-06
A6NDX5	2.7675990875273397e-07	5.422478749375368e-08
A6NE01	1.877612345203473e-06	1.9128920457592466e-06
A6NE52	1.788508769289171e-06	2.2964821269490946e-06
A6NE82	5.037874439238691e-07	1.4936736729882123e-07
A6NEC2	3.120432828131064e-07	6.301922328626033e-08
A6NED2	5.929656901980859e-07	4.007882050477327e-06
A6NEE1	2.207510194892655e-07	3.081964391967686e-08
A6NEK1	3.4589611194131213e-07	1.4916943808416085e-07
A6NEL2	2.3576513756970111e-07	4.568612010015205e-08
A6NEM1	1.6239644143430095e-06	9.933109102008359e-05
A6NEQ0	3.2909126710569323e-07	8.68398597303381e-08
A6NER0	1.3168201806659167e-06	2.5521732828083203e-06
A6NER3	4.3669375461708085e-07	1.1634156441213488e-07
A6NES4	3.6435513006701934e-07	9.310256780794165e-08
A6NEW6	1.2087373228818035e-06	3.3666992572512993e-07
A6NFA0	2.2157529606588523e-07	1.658651843175686e-08
A6NFD8	3.435044875150093e-07	3.203441644123863e-07
A6NFI3	3.364607695937863e-07	5.744523693734005e-07
A6NFN3	8.334304965860679e-07	3.7141880672642467e-06
A6NFN9	2.2133645213755216e-07	2.7002349845795705e-08
A6NFQ2	6.020790271051596e-07	1.3909113772249999e-06
A6NFR6	4.49556114725787e-07	3.7632786414954315e-07
A6NFT4	3.567009062568514e-07	8.726002130524659e-08
A6NFY4	3.519492484883639e-07	8.058463865389711e-08
A6NFY7	1.6220972691778041e-06	4.174368289029327e-06
A6NG13	1.746690127375919e-07	2.3410090849171955e-08
A6NGB9	4.1994363726044357e-07	3.3163581805840683e-07
A6NGC4	2.9995168225401226e-07	1.0337216849765136e-07
A6NGE4	2.556187375425403e-07	3.240887584936468e-08
A6NGE7	4.06948641658089e-06	2.237054446318765e-06
A6NGG8	3.288041537722435e-07	1.8268678737323802e-07
A6NGH7	3.2255707039010984e-06	2.5433543365573918e-06
A6NGK3	4.3669375461708085e-07	1.1634156441213488e-07
A6NGQ2	4.5835911217327953e-07	3.973659705559248e-07
A6NGR9	9.64218083592761e-07	8.635069494799284e-07
A6NGS2	1.8104381413134069e-06	7.998035911995396e-07
A6NGU5	3.156731595432874e-07	1.071970195303287e-07
A6NH11	2.7009340876467194e-07	7.195187074444229e-08
A6NH52	7.790508460600296e-06	9.872747310118698e-06
A6NHC0	4.956266081557898e-07	3.2972058043277386e-07
A6NHG4	2.5048371060438503e-06	3.993290791079236e-06
A6NHJ4	2.8894523679659984e-07	8.79264913320102e-08
A6NHL2	3.9813052622811146e-07	1.479992019292886e-06
A6NHN0	2.968696666059809e-07	6.998344538205945e-08
A6NHN6	2.748256007021337e-07	2.9316409349497428e-08
A6NHP3	3.764269345363505e-07	1.9521737184159152e-07
A6NHQ2	3.926404050693818e-07	6.275206229774936e-07
A6NHQ4	6.178819759078069e-07	2.438706052061765e-06
A6NHR9	3.6963707956740007e-07	5.116516555730832e-06
A6NHS7	2.5420959694491217e-07	4.4931775111901085e-08
A6NHT5	4.049680110559882e-07	2.3187158277519353e-07
A6NHX0	4.687410922462936e-07	2.2678794403971374e-07
A6NHY2	2.1745236451980004e-07	1.584491730544215e-08
A6NI15	2.4125963186033466e-06	1.8287761212429458e-05
A6NI28	3.342664035404008e-06	1.723034811737083e-05
A6NI47	2.2157529606588523e-07	1.658651843175686e-08
A6NI56	4.280623198143485e-07	2.104393317443931e-07
A6NI72	3.4746020701768824e-07	6.482446063123476e-08
A6NI79	5.399349714033985e-06	3.899297557130648e-05
A6NI86	2.3342969400722537e-07	4.986995527684073e-08
A6NIE6	3.042360169662138e-07	5.409155166740928e-08
A6NIH7	3.314926356198954e-07	3.987801694878634e-07
A6NIJ9	1.652441041342648e-07	1.0761950606316343e-08
A6NIM6	7.480967016057968e-07	2.78737815929239e-07
A6NIR3	6.448394250769975e-07	3.841348794819426e-07
A6NIV6	1.1330926476143442e-06	1.113996330164545e-06
A6NIX2	1.9943196027504435e-06	1.0311617876114945e-05
A6NIZ1	4.632255501141667e-07	2.1608336806906919e-07
A6NJ69	2.935395872225083e-07	5.9485711932909414e-08
A6NJ78	3.744655637708822e-07	5.4805127169246155e-06
A6NJB7	4.5938685366043006e-07	3.020545033053092e-07
A6NJL1	3.8713944217845253e-07	2.120309713832961e-07
A6NJU9	3.999894578784461e-06	4.259187011439496e-06
A6NJW4	4.992981232520282e-07	1.260003313111293e-07
A6NJZ7	5.975407140581999e-06	2.50600234432458e-05
A6NK02	1.1887920087847353e-06	1.575729620301692e-06
A6NK44	2.8964663277132267e-07	6.031781778729187e-08
A6NK53	4.099466279356194e-07	1.4733085030300136e-07
A6NK58	2.5420959694491217e-07	4.4931775111901085e-08
A6NK59	1.605197929720011e-06	1.0421303149879766e-05
A6NK89	1.1060098769167598e-06	1.5713117289707772e-05
A6NK97	1.4774827050063243e-07	1.0798744074119834e-08
A6NKB5	3.195148497712345e-07	1.6707109837833903e-07
A6NKD2	5.057621078567421e-07	2.0383032066577154e-07
A6NKD9	1.1237716476662089e-06	1.632243082716861e-05
A6NKF1	7.42581076962635e-07	2.050746447856652e-06
A6NKF2	1.5619329431848677e-06	1.1817891380605366e-06
A6NKG5	4.047747461455915e-07	3.955562830929717e-07
A6NKH3	2.373528634968293e-07	4.5498401542434096e-08
A6NKK0	1.4054366133757754e-06	4.137776261019965e-07
A6NKL6	6.377662165771482e-07	3.7273903464024074e-07
A6NKN8	2.931498544145332e-07	9.508674255982189e-08
A6NKP2	2.7477782974845627e-06	3.1894988092205927e-06
A6NKQ9	4.625064699673729e-07	1.0603731039825268e-07
A6NKT7	0.00014124972518018012	0.001687296686898308
A6NL99	8.042196689841985e-06	4.216309610796866e-06
A6NLC5	2.585846147989019e-07	4.14766238237492e-08
A6NLF2	2.5728156310906004e-07	4.470422617284955e-08
A6NLI5	5.593527004050345e-07	2.576868817206167e-07
A6NLP5	1.3024684803477742e-06	5.825052623258027e-07
A6NLU0	2.681383120331663e-06	1.6982753682432098e-06
A6NLU5	3.8546391116124353e-07	1.1020991023441813e-07
A6NLX3	3.640086596859356e-07	3.7869046022059156e-07
A6NM10	9.033287440453842e-07	5.15349276420282e-07
A6NM11	3.5558521112810316e-07	7.274041727798259e-08
A6NM43	4.626884620322246e-07	4.031260705782784e-07
A6NM62	3.523644063958174e-07	1.22005252072568e-07
A6NMB1	5.786362504983337e-07	1.7719555038753131e-07
A6NMB9	1.891762258782581e-07	1.8806464612720558e-08
A6NMD0	2.6299363399439915e-07	6.171140169182877e-08
A6NMD2	2.5728156310906004e-07	4.470422617284955e-08
A6NMK7	2.5264693572084074e-06	6.005339226279668e-06
A6NMK8	3.0784472600308e-07	6.530958546538772e-08
A6NML5	2.9180395365500444e-07	5.085634940275835e-08
A6NMS7	2.575144377335669e-07	1.1031415329388188e-08
A6NMT0	5.623013051239046e-07	2.7235570359256023e-07
A6NMX2	6.026087840680397e-07	1.694451984488627e-07
A6NMY6	5.180124992173308e-07	3.4455653251991366e-06
A6NMZ7	3.419354501151208e-07	1.0842087364039623e-07
A6NN06	5.18481921891391e-07	1.3303317811669878e-07
A6NN73	2.5613796166430494e-07	3.717467625600213e-08
A6NNA2	4.103516950986627e-07	1.9051567549862164e-07
A6NNB3	3.0838112851482814e-07	2.272046581044692e-08
A6NNF4	3.324274238364908e-07	7.742123305512443e-08
A6NNH2	2.6008464247771026e-07	3.297971747323832e-08
A6NNL0	0.0014300205968591603	0.0014292484007342782
A6NNL5	3.3874049752397133e-07	1.3049955309228504e-07
A6NNM8	3.0182734766912205e-07	9.162636948136567e-08
A6NNT2	3.882224080105511e-07	1.9703679070110632e-07
A6NNV3	4.147217180854384e-07	2.2289922573695282e-07
A6NNW6	2.6875595528828943e-07	5.754909635583852e-08
A6NNX1	3.3945165062745087e-07	2.6009826471114304e-07
A6NNY8	2.3835613612600152e-06	7.288910871825274e-06
A6NNZ2	3.4660654088708945e-07	1.3457736641235018e-07
A6NP11	2.883887275890158e-07	3.843282109259683e-08
A6PVS8	5.616035601574536e-07	3.7750615765739347e-07
A6PVY3	3.6529359375713344e-07	1.3828703246581638e-07
A6QKW0	1.668012295028907e-07	5.77231733727973e-09
A6QL63	4.4635411763734245e-07	1.398755940431822e-07
A6QL64	9.816918421282714e-07	3.3862068173427967e-06
A6XGL0	3.055473964594434e-07	9.491420417493766e-08
A6ZKI3	5.828888211691783e-07	3.043570747090234e-06
A7E2F4	1.0378831542486634e-06	5.606284168822171e-07
A7E2S9	2.2133645213755216e-07	2.7002349845795705e-08
A7E2U8	1.358247464949988e-06	6.618033869468263e-07
A7E2V4	3.832732376342265e-07	1.686035818426165e-06
A7E2Y1	1.0378949388606688e-06	1.0019737811638066e-05
A7KAX9	1.1947031174932143e-06	2.400735097233421e-05
A7MBM2	2.575144377335669e-07	1.1031415329388188e-08
A7MCY6	7.740812494434906e-07	6.0008738139534315e-06
A7MD48	1.535041795586429e-06	1.174546215843957e-05
A7UJ17	2.6308262304803824e-07	5.895683235634898e-08
A7XYQ1	4.959824831032694e-07	3.246674995514675e-07
A8CG34	4.5686606333061025e-07	2.872209422908078e-06
A8CGI0	4.905031999369384e-07	1.271910224326707e-07
A8JZY9	1.668012295028907e-07	5.77231733727973e-09
A8K008	2.04950660075012e-07	4.286344588598941e-08
A8K010	5.16473373513666e-07	1.246337562429344e-07
A8K0R7	6.704480038607937e-07	1.211768727445164e-06
A8K0U2	9.79199799576165e-07	2.1304493658694617e-06
A8K0Z3	6.144363521453676e-07	8.209859359226402e-06
A8K132	1.668012295028907e-07	5.77231733727973e-09
A8K146	9.942369757763543e-07	2.737679312947975e-07
A8K1E4	2.1112358346187444e-07	3.409781863479531e-08
A8K251	3.3537931133014585e-06	4.96184088821609e-06
